City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Makakilo City,US,21.3469,-158.0858,77.0,53,20,4.61,few clouds
79,Esperance,AU,-33.8667,121.9,62.6,67,90,21.85,light rain
80,Clyde River,CA,70.4692,-68.5914,32.0,69,40,14.97,scattered clouds
81,Dhidhdhoo,MV,6.8833,73.1,83.28,65,7,2.06,clear sky
82,Thompson,CA,55.7435,-97.8558,23.0,68,90,11.5,overcast clouds
83,Tanete,ID,-3.9443,119.7848,73.99,96,47,0.31,scattered clouds
84,Alice Springs,AU,-23.7,133.8833,52.0,87,51,3.44,broken clouds
85,Carnarvon,AU,-24.8667,113.6333,78.8,89,90,16.11,overcast clouds
86,Souillac,MU,-20.5167,57.5167,78.8,89,40,6.91,scattered clouds
87,Butaritari,KI,3.0707,172.7902,80.78,78,34,9.46,light rain
88,Bagdarin,RU,54.4333,113.6,6.76,67,1,4.14,clear sky
89,Pidhorodne,UA,48.5753,35.1068,53.6,32,0,15.66,clear sky
90,Mahebourg,MU,-20.4081,57.7,78.8,89,40,6.91,scattered clouds
91,Taoudenni,ML,22.6783,-3.9836,90.72,12,0,7.74,clear sky
92,Hithadhoo,MV,-0.6,73.0833,82.94,73,97,10.74,overcast clouds
93,Ribeira Grande,PT,38.5167,-28.7,62.6,94,75,10.36,broken clouds
94,Rafraf,TN,37.1904,10.1837,62.6,82,20,16.11,few clouds
95,Husavik,IS,66.0449,-17.3389,35.6,75,90,6.91,overcast clouds
96,Nuuk,GL,64.1835,-51.7216,35.6,69,20,14.97,few clouds
97,Nome,US,64.5011,-165.4064,24.8,80,90,25.32,snow
98,Port Hardy,CA,50.6996,-127.4199,44.6,49,20,12.66,few clouds
99,Moron,AR,-34.6534,-58.6198,69.01,68,94,3.0,overcast clouds
100,Tasiilaq,GL,65.6145,-37.6368,30.2,69,0,4.92,clear sky
101,Jati,PK,24.3539,68.2671,80.04,56,0,12.46,clear sky
102,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.4,61,0,9.22,clear sky
103,Luba,GQ,3.4568,8.5547,82.4,89,40,14.97,scattered clouds
104,Geraldton,AU,-28.7667,114.6,75.2,88,90,20.71,overcast clouds
105,Kusu,JP,33.2831,131.1514,51.01,78,98,1.99,overcast clouds
106,Lucea,JM,18.451,-78.1736,86.0,70,20,9.22,few clouds
107,Coquimbo,CL,-29.9533,-71.3436,60.8,77,20,14.97,few clouds
108,Avarua,CK,-21.2078,-159.775,78.8,89,20,6.91,light rain
109,Middelburg,ZA,-25.7751,29.4648,64.11,38,0,3.74,clear sky
110,Tiksi,RU,71.6872,128.8694,2.1,73,100,7.74,overcast clouds
111,Shingu,JP,33.7333,135.9833,52.93,77,100,5.84,overcast clouds
112,Mar Del Plata,AR,-38.0023,-57.5575,66.2,59,20,11.5,few clouds
113,Oranjestad,AW,12.524,-70.027,84.2,70,40,24.16,scattered clouds
114,Sitka,US,57.0531,-135.33,37.4,75,90,3.4,light rain
115,Dikson,RU,73.5069,80.5464,29.89,89,100,28.23,overcast clouds
116,Gazojak,TM,41.1875,61.4036,58.51,42,0,12.26,clear sky
117,Merrill,US,45.1805,-89.6835,50.0,100,90,5.75,drizzle
118,Amherst Center,US,42.3754,-72.5192,54.0,69,100,5.01,overcast clouds
119,Bataipora,BR,-22.2953,-53.2711,95.43,20,0,4.03,clear sky
120,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,24.8,80,55,6.71,broken clouds
121,Chuy,UY,-33.6971,-53.4616,65.08,77,89,22.19,overcast clouds
122,Nevelsk,RU,46.6733,141.8633,42.8,87,75,6.71,broken clouds
123,Iqaluit,CA,63.7506,-68.5145,28.4,93,90,20.71,overcast clouds
124,Morgan City,US,29.6994,-91.2068,82.0,41,1,4.61,clear sky
125,Norman Wells,CA,65.282,-126.8329,3.2,47,1,10.36,clear sky
126,Vanavara,RU,60.34,102.2797,24.04,98,100,1.81,overcast clouds
127,Belaya Gora,RU,68.5333,146.4167,-26.77,100,96,3.15,overcast clouds
128,Zhigansk,RU,66.7697,123.3711,-3.73,99,26,11.48,scattered clouds
129,Mount Gambier,AU,-37.8333,140.7667,51.8,82,90,4.61,overcast clouds
130,Bongor,TD,10.2806,15.3722,93.11,9,48,4.88,scattered clouds
131,Katsuura,JP,35.1333,140.3,53.6,76,20,6.91,few clouds
132,Varhaug,NO,58.6147,5.6457,39.99,68,100,2.53,overcast clouds
133,East London,ZA,-33.0153,27.9116,71.35,84,100,2.71,overcast clouds
134,Assai,BR,-23.3733,-50.8414,87.8,35,20,6.91,few clouds
135,Nhulunbuy,AU,-12.2333,136.7667,75.2,94,68,3.36,broken clouds
